Sr No,BRANCH CODE,BRANCH NAME,STATE,CITY,ZONE,PIN CODE
224,0608,SEC 23 GURGAON,HARYANA,GURGAON,NORTH,122017
225,0619,DLF PHASE 3 GURGAON,HARYANA,GURGAON,NORTH,122001
226,0672,SEC12 NOIDA,UTTAR PRADESH,NOIDA,NORTH,201301
227,0673,ARJUN MARG GURGAON,HARYANA,GURGAON,NORTH,122002
228,0680,SEC 21 FARIDABAD,DELHI,FARIDABAD,NORTH,121001
229,0702,NIIT FARIDABAD,DELHI,FARIDABAD,NORTH,121001
230,0703,SEC 50 NOIDA,UTTAR PRADESH,NOIDA,NORTH,201301
231,0708,SEC 4 GURGAON,HARYANA,GURGAON,NORTH,122001
232,0714,SEC 45 GURGAON,HARYANA,GURGAON,NORTH,122001
233,0716,"CYBER CITY RAPID METRO
DIGITAL BRANCH
GURGAON",HARYANA,GURGAON,NORTH,122002
234,0724,SEC 56 GURGAON,HARYANA,GURGAON,NORTH,122011
235,0730,"MAYUR VIHAR PHASE II
DELHI",DELHI,NEW DELHI,NORTH,110096
236,0733,VASUNDHARA NOIDA,UTTAR PRADESH,GHAZIABAD,NORTH,201012
237,0735,"MOHAN CO OPERATIVE
INDL ESTATE DELHI",DELHI,NEW DELHI,NORTH,110016
238,0742,SEC 17 GURGAON,HARYANA,GURGAON,NORTH,122001
239,0747,IFFCO CHOWK GURGAON,HARYANA,GURGAON,NORTH,122001
240,0748,"SEC 58 BISHANPURA
NOIDA",UTTAR PRADESH,NOIDA,NORTH,201301
241,0755,SEC 119 NOIDA,UTTAR PRADESH,NOIDA,NORTH,201301
242,0756,PALAM VIHAR GURGAON,HARYANA,GURGAON,NORTH,122017
243,0763,SEC 15 GURGAON,HARYANA,GURGAON,NORTH,122001
244,0804,VIKASPURI NEW DELHI,DELHI,NEW DELHI,NORTH,110018
245,0817,"VAISHALI GHAZIABAD
NOIDA",UTTAR PRADESH,GHAZIABAD,NORTH,201010
246,0821,"SAFDARJUNG ENCLAVE
NEW DELHI",DELHI,NEW DELHI,NORTH,110029
247,0831,"KRISHNA NAGAR NEW
DELHI",DELHI,NEW DELHI,NORTH,110051
248,0842,NAJAFGARH DELHI,DELHI,NEW DELHI,NORTH,110043
249,0849,SEC 9 ROHINI DELHI,DELHI,NEW DELHI,NORTH,110085
250,0858,KALKAJI DELHI,DELHI,NEW DELHI,NORTH,110019
251,0936,ANAND VIHAR DELHI,DELHI,NEW DELHI,NORTH,110092
252,0964,SEC 77 NOIDA,UTTAR PRADESH,NOIDA,NORTH,201301
253,1006,SAKET DELHI,DELHI,NEW DELHI,NORTH,110017
254,1032,SEC 5 DWARKA NEW DELHI,DELHI,NEW DELHI,NORTH,110075
255,1035,JORBAGH NEW DELHI,DELHI,NEW DELHI,NORTH,110003
256,1040,"QUTUB PLAZA DLF PHASE 1
GURGAON",HARYANA,GURGAON,NORTH,122001
257,1041,"KOHAT ENCLAVE
PITAMPURA NEW DELHI",DELHI,NEW DELHI,NORTH,110034
258,1064,"CONNAUGHT PLACE NEW
DELHI",DELHI,NEW DELHI,NORTH,110001
259,1067,"SEC 15 FARIDABAD NEW
DELHI",DELHI,FARIDABAD,NORTH,121007
260,1089,"SHALIMAR BAGH NEW
DELHI",DELHI,NEW DELHI,NORTH,110088
261,1102,VIVEK VIHAR NEW DELHI,DELHI,NEW DELHI,NORTH,110095
262,0014,CHANDIGARH,CHANDIGARH,CHANDIGARH,NORTH 2,160018
263,0016,JAIPUR,RAJASTHAN,JAIPUR,NORTH 2,302001
264,0019,LUCKNOW,UTTAR PRADESH,LUCKNOW,NORTH 2,226001
265,0020,LUDHIANA,PUNJAB,LUDHIANA,NORTH 2,141001
266,0-0026,1-JODHPUR,2-RAJASTHAN,3-JODHPUR,4-NORTH 2,5-342003
267,0037,VARANASI,UTTAR PRADESH,VARANASI,NORTH 2,221010
268,0041,KANPUR,UTTAR PRADESH,KANPUR,NORTH 2,208002
269,0045,JALLANDHAR,PUNJAB,JALANDHAR,NORTH,144003
270,0049,HAPUR,UTTAR PRADESH,HAPUR,NORTH,245101
271,0054,DEHRADUN,UTTARANCHAL,DEHRADUN,NORTH 2,248001
272,0064,AGRA,UTTAR PRADESH,AGRA,NORTH 2,282002
273,0072,HISSAR,HARYANA,HISSAR,NORTH 2,125001
274,0073,KARNAL,HARYANA,KARNAL,NORTH 2,132001
275,0083,MOHALI,PUNJAB,MOHALI,NORTH 2,160059
276,0086,PHAGWARA,PUNJAB,PHAGWARA,NORTH 2,144401
277,0090,PANCHKULA,HARYANA,PANCHKULA,NORTH 2,134112
278,0111,UDAIPUR,RAJASTHAN,UDAIPUR,NORTH 2,313001
279,0112,KOTA,RAJASTHAN,KOTA EXPANSION,NORTH 2,324007
280,0113,BIKANER,RAJASTHAN,BIKANER,NORTH 2,334001
281,0114,BAREILLY,UTTAR PRADESH,BAREILLY,NORTH 2,243001
282,0119,AMRITSAR,PUNJAB,AMRITSAR,NORTH,143001
283,0124,ALLAHABAD,UTTAR PRADESH,ALLAHABAD,NORTH 2,211001
284,0125,BHATINDA,PUNJAB,BHATINDA,NORTH 2,151001
285,0129,AJMER,RAJASTHAN,AJMER,NORTH 2,305001
286,0130,ROHTAK,HARYANA,ROHTAK,NORTH 2,124001
287,0133,BHILWARA,RAJASTHAN,BHILWARA,NORTH 2,311001
288,0136,SRINAGAR,JAMMU & KASHMIR,OUTER SRINAGAR 2,NORTH 2,190001
289,0149,PATIALA,PUNJAB,PATIALA,NORTH 2,147001
290,0150,GORAKHPUR,UTTAR PRADESH,GORAKHPUR,NORTH 2,273001
291,0151,MORADABAD,UTTAR PRADESH,MORADABAD,NORTH,244001
292,0156,JAMMU,JAMMU & KASHMIR,JAMMU,NORTH 2,180004
293,0163,MILLER GANJ,PUNJAB,LUDHIANA,NORTH 2,141003
294,0164,PANCHKULA SECTOR 9,HARYANA,PANCHKULA,NORTH 2,134109
295,0181,KHANNA,PUNJAB,KHANNA,NORTH 2,141401
296,0185,SHIMLA,HIMACHAL PRADESH,SHIMLA,NORTH 2,171001
297,0197,JHUNJHUNU,RAJASTHAN,JHUNJHUNU,NORTH 2,333001
298,0198,SHAHPURA,RAJASTHAN,KOTPUTALI,NORTH 2,303103
299,0199,MANSA,PUNJAB,MANSA,NORTH 2,151505
300,0200,SUMERPUR,RAJASTHAN,"SHEOGANJ AND
SUMERPUR",NORTH 2,306902
301,0208,NASIRABAD,RAJASTHAN,KISHANGARH,NORTH 2,305601
302,0209,NAGUAR,RAJASTHAN,NAGAUR,NORTH 2,341001
303,0224,MANDI GOBINDGARH,PUNJAB,FATEHGARH SAHIB,NORTH 2,147301
304,0228,BADDI,HIMACHAL PRADESH,BADDI,NORTH 2,173205
305,0235,JAGDISHPUR,UTTAR PRADESH,AMETHI,NORTH 2,227809
306,0238,LANDRAN,PUNJAB,KHARAR,NORTH 2,140307
307,0239,BAKARPUR,PUNJAB,MOHALI,NORTH 2,140306
308,0244,AMLOH,PUNJAB,FATEHGARH SAHIB,NORTH 2,147203
309,0245,RAHON,PUNJAB,NAWANSHAHAR,NORTH 2,144517
310,0246,LAXMANGARH,RAJASTHAN,RAJASHTAN,NORTH 2,497116
311,0249,ANPARA,UTTAR PRADESH,RENUKOOT,NORTH,231225
312,0250,PEHOWA,HARYANA,PEHOWA,NORTH 2,136128
313,0251,JHAJJAR,HARYANA,JHAJJAR,NORTH 2,124103
314,0254,DAON,PUNJAB,KHARAR,NORTH 2,140301
315,0255,MULLANPUR,PUNJAB,CHANDIGARH,NORTH 2,140901
316,0259,GOTAN,RAJASTHAN,NAGPUR,NORTH 2,342902
317,0277,SUNDER NAGAR,PUNJAB,LUDHIANA,NORTH 2,141007
318,0278,RAJAPARK,RAJASTHAN,JAIPUR,NORTH 2,302004
319,0279,JOHARI BAZAR,RAJASTHAN,JAIPUR,NORTH 2,302003
320,0280,NEEMRANA,RAJASTHAN,NEEMRANA,NORTH 2,301705
321,0284,"JALLANDHAR OPP
JYMKHANA",PUNJAB,JALANDHAR,NORTH,144001
322,0285,AMRITSAR G T ROAD,PUNJAB,AMRITSAR,NORTH,143001
323,0318,CHANDIGARH SECTOR 35,CHANDIGARH,CHANDIGARH,NORTH 2,160035
324,0337,VALLABH NAGAR,RAJASTHAN,FATEHNAGAR,NORTH 2,313601
325,0338,BIJOLIYA,RAJASTHAN,RAJASHTAN,NORTH 2,311602
326,0340,SHAHKOT,PUNJAB,JALLANDHAR,NORTH,144702
327,0344,BARWALA,HARYANA,DERABASSI,NORTH 2,134118
328,0355,MANAULI,PUNJAB,MOHALI,NORTH 2,140306
329,0409,KHAMANON,PUNJAB,MORINDA,NORTH 2,141801
330,0410,MEERUT,UTTAR PRADESH,MEERUT,NORTH,250004
331,0411,ALWAR CITY,RAJASTHAN,ALWAR,NORTH 2,301001
332,0412,BHIWADI,RAJASTHAN,KUSHKHERA,NORTH 2,301019
333,0420,RAJSAMAND,RAJASTHAN,RAJSAMAND,NORTH 2,313324
334,0421,CHITTORGARH,RAJASTHAN,CHITTORGARH,NORTH 2,312001
335,0426,HOSHIARPUR,PUNJAB,HOSHIARPUR,NORTH,146001
336,0427,APRA,PUNJAB,GORAYA,NORTH 2,144416
337,0428,BARMER,RAJASTHAN,BARMER,NORTH 2,344001
